var_names,X0,X1
1118,116,176
1119,118,173
1120,120,176
1121,121,173
1122,123,176
1123,125,173
1124,127,176
1125,128,173
1126,130,176
1127,132,173
1128,134,176
1129,135,173
1130,137,176
1131,139,173
1132,141,176
1133,142,173
1134,144,176
1135,146,173
1136,148,176
1137,149,173
1138,151,176
1139,153,173
1140,155,176
1141,156,173
1142,158,176
1143,160,173
1144,162,176
1145,165,176
1146,169,176
1147,170,173
1148,172,176
1149,174,173
1150,176,176
1151,177,173
1152,179,176
1153,181,173
1154,183,176
1155,184,173
1156,186,176
1157,188,173
1158,190,176
1159,191,173
1160,193,176
1161,195,173
1162,197,176
1163,198,173
1164,200,176
1165,202,173
1166,204,176
1167,205,173
1168,207,176
1169,106,183
1170,107,180
1171,109,183
1172,111,180
1173,113,183
1174,114,180
1175,116,183
1176,118,180
1177,120,183
1178,121,180
1179,123,183
1180,125,180
1181,127,183
1182,128,180
1183,130,183
1184,132,180
1185,134,183
1186,135,180
1187,137,183
1188,139,180
1189,141,183
1190,142,180
1191,144,183
1192,146,180
1193,148,183
1194,149,180
1195,151,183
1196,153,180
1197,155,183
1198,156,180
1199,158,183
1200,160,180
1201,162,183
1202,163,180
1203,165,183
1204,167,180
1205,169,183
1206,170,180
1207,172,183
1208,174,180
1209,176,183
1210,177,180
1211,179,183
1212,181,180
1213,183,183
1214,184,180
1215,186,183
1216,188,180
1217,190,183
1218,191,180
1219,193,183
1220,195,180
1221,197,183
1222,198,180
1223,200,183
1224,202,180
1225,204,183
1226,205,180
1227,107,187
1228,111,187
1229,113,190
1230,114,187
1231,116,190
1232,118,187
1233,120,190
1234,121,187
1235,123,190
1236,125,187
1237,127,190
1238,128,187
1239,130,190
1240,132,187
1241,134,190
1242,135,187
1243,137,190
1244,139,187
1245,141,190
1246,142,187
1247,144,190
1248,146,187
1249,148,190
1250,149,187
1251,151,190
1252,153,187
1253,155,190
1254,156,187
1255,158,190
1256,160,187
1257,162,190
1258,163,187
1259,165,190
1260,167,187
1261,169,190
1262,170,187
1263,172,190
1264,174,187
1265,176,190
1266,177,187
1267,179,190
1268,181,187
1269,183,190
1270,184,187
1271,186,190
1272,188,187
1273,190,190
1274,191,187
1275,193,190
1276,195,187
1277,197,190
1278,198,187
1279,202,187
1280,114,194
1281,116,197
1282,118,194
1283,120,197
1284,121,194
1285,123,197
1286,125,194
1287,127,197
1288,128,194
1289,130,197
1290,132,194
1291,134,197
1292,135,194
1293,137,197
1294,139,194
1295,141,197
1296,142,194
1297,144,197
1298,146,194
1299,148,197
1300,149,194
1301,151,197
1302,153,194
1303,155,197
1304,156,194
1305,158,197
1306,160,194
1307,162,197
1308,163,194
1309,165,197
1310,167,194
1311,169,197
1312,170,194
1313,172,197
1314,174,194
1315,176,197
1316,177,194
1317,179,197
1318,181,194
1319,183,197
1320,184,194
1321,186,197
1322,188,194
1323,190,197
1324,191,194
1325,193,197
1326,195,194
1327,197,197
1328,118,201
1329,121,201
1330,123,204
1331,125,201
1332,127,204
1333,128,201
1334,130,204
1335,132,201
1336,134,204
1337,135,201
1338,137,204
1339,139,201
1340,141,204
1341,142,201
1342,144,204
1343,146,201
1344,148,204
1345,149,201
1346,151,204
1347,153,201
1348,155,204
1349,156,201
1350,158,204
1351,160,201
1352,162,204
1353,163,201
1354,165,204
1355,167,201
1356,169,204
1357,170,201
1358,172,204
1359,174,201
1360,176,204
1361,177,201
1362,179,204
1363,181,201
1364,183,204
1365,184,201
1366,186,204
1367,188,201
1368,190,204
1369,191,201
1370,195,201
1371,125,207
1372,127,211
1373,128,207
1374,130,211
1375,132,207
1376,134,211
1377,135,207
1378,137,211
1379,139,207
1380,141,211
1381,142,207
1382,144,211
1383,146,207
1384,148,211
1385,149,207
